"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2022","6.06","6.89","7.25","5.66","1.19M","-10.75%"
"05/01/2022","6.79","6.82","8.30","5.85","3.36M","-1.59%"
"04/01/2022","6.90","6.60","7.39","5.67","2.03M","5.18%"
"03/01/2022","6.56","9.72","10.06","5.20","2.38M","-32.79%"
"02/01/2022","9.76","9.41","10.15","8.64","629.96K","4.16%"
"01/01/2022","9.37","9.50","11.00","8.11","691.69K","-0.53%"
"12/01/2021","9.42","9.62","10.73","9.10","1.49M","0.53%"
"11/01/2021","9.37","10.21","11.37","9.12","2.43M","-8.67%"
"10/01/2021","10.26","11.68","13.90","10.20","1.60M","-11.55%"
"09/01/2021","11.60","12.30","12.84","10.56","1.68M","-5.00%"
"08/01/2021","12.21","14.00","14.95","11.33","1.61M","-11.07%"
"07/01/2021","13.73","15.04","16.72","11.07","2.61M","-6.98%"
"06/01/2021","14.76","16.85","17.50","14.00","1.64M","-11.30%"
"05/01/2021","16.64","16.00","18.47","15.70","2.10M","5.58%"
"04/01/2021","15.76","17.11","19.83","13.88","1.54M","-5.97%"
"03/01/2021","16.76","14.12","18.00","12.10","1.86M","23.96%"
"02/01/2021","13.52","10.95","15.51","10.95","949.56K","22.80%"
"01/01/2021","11.01","9.50","14.71","8.67","1.12M","16.63%"
"12/01/2020","9.44","9.63","10.75","9.02","1.13M","-0.11%"
"11/01/2020","9.45","7.49","10.76","6.78","1.67M","27.36%"
"10/01/2020","7.42","6.50","8.67","6.21","1.49M","15.40%"
"09/01/2020","6.43","7.92","8.61","6.07","2.42M","-19.52%"
"08/01/2020","7.99","6.24","8.43","6.13","2.84M","30.34%"
"07/01/2020","6.13","5.59","6.28","5.09","3.25M","8.69%"
"06/01/2020","5.64","6.17","8.94","5.35","6.03M","-7.84%"
"05/01/2020","6.12","5.38","7.19","4.19","3.25M","9.87%"
"04/01/2020","5.57","3.77","6.33","3.11","3.46M","41.73%"
"03/01/2020","3.93","7.56","9.26","3.04","4.74M","-51.96%"
"02/01/2020","8.18","10.14","12.33","7.49","1.28M","-19.41%"
"01/01/2020","10.15","10.83","12.40","10.06","765.89K","-5.14%"
"12/01/2019","10.70","10.38","11.54","9.61","751.05K","3.58%"
"11/01/2019","10.33","10.19","11.03","9.31","814.71K","2.08%"
"10/01/2019","10.12","10.72","12.39","9.78","885.94K","-5.33%"
"09/01/2019","10.69","11.67","13.80","10.05","1.33M","-9.94%"
"08/01/2019","11.87","12.57","13.15","10.80","1.21M","-5.64%"
"07/01/2019","12.58","15.63","15.95","12.00","1.75M","-18.52%"
"06/01/2019","15.44","17.00","18.31","14.54","1.83M","-9.23%"
"05/01/2019","17.01","17.77","22.85","15.32","2.75M","-3.19%"
"04/01/2019","17.57","13.43","19.28","12.50","1.85M","31.12%"
"03/01/2019","13.40","13.33","15.08","12.44","1.39M","0.98%"
"02/01/2019","13.27","12.30","18.33","12.18","2.68M","7.89%"
"01/01/2019","12.30","9.68","14.25","8.72","2.22M","25.13%"
"12/01/2018","9.83","9.15","10.00","7.56","1.35M","8.98%"
"11/01/2018","9.02","7.66","10.30","7.66","1.62M","17.60%"
"10/01/2018","7.67","11.85","12.50","7.00","2.89M","-35.27%"
"09/01/2018","11.85","12.50","12.50","10.10","1.16M","-4.44%"
"08/01/2018","12.40","12.95","13.90","12.25","2.60M","-4.62%"
"07/01/2018","13.00","17.05","21.15","12.50","3.94M","-23.98%"
"06/01/2018","17.10","17.00","18.50","15.05","2.49M","1.48%"
"05/01/2018","16.85","11.40","17.69","11.25","3.18M","47.16%"
"04/01/2018","11.45","7.00","11.55","6.60","3.17M","57.39%"
"03/01/2018","7.28","6.50","7.38","6.05","562.31K","13.67%"
"02/01/2018","6.40","6.15","7.40","5.95","521.31K","3.23%"
"01/01/2018","6.20","6.50","7.15","6.10","339.95K","-3.88%"
"12/01/2017","6.45","6.15","6.85","5.90","686.99K","7.50%"
"11/01/2017","6.00","6.70","6.85","5.75","410.22K","-10.45%"
"10/01/2017","6.70","8.30","9.05","6.70","425.72K","-22.09%"
"09/01/2017","8.60","8.20","9.05","7.55","575.44K","5.52%"
"08/01/2017","8.15","10.80","11.00","8.10","668.99K","-22.38%"
"07/01/2017","10.50","11.00","11.25","10.50","455.98K","-4.11%"
"06/01/2017","10.95","10.35","11.20","9.70","825.78K","5.80%"
"05/01/2017","10.35","9.30","11.25","8.60","1.05M","12.50%"
"04/01/2017","9.20","9.75","9.99","9.10","500.12K","-4.66%"
"03/01/2017","9.65","9.25","9.76","8.30","774.13K","6.63%"
"02/01/2017","9.05","9.15","9.70","8.40","687.23K","-1.09%"
"01/01/2017","9.15","9.55","10.85","8.95","516.18K","-2.66%"
"12/01/2016","9.40","11.15","12.20","9.30","650.81K","-16.44%"
"11/01/2016","11.25","10.25","11.90","9.10","948.13K","10.29%"
"10/01/2016","10.20","12.71","12.95","10.20","810.65K","-20.50%"
"09/01/2016","12.83","12.54","13.27","12.44","1.02M","1.91%"
"08/01/2016","12.59","10.28","12.96","9.70","1.26M","23.43%"
"07/01/2016","10.20","8.02","10.30","7.72","878.56K","27.18%"
"06/01/2016","8.02","8.10","8.33","7.50","1.53M","-0.99%"
"05/01/2016","8.10","7.60","8.24","7.50","798.14K","6.16%"
