"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2016","7.060","7.410","7.725","6.930","126.71M","-12.73%"
"03/01/2016","8.090","7.900","8.360","7.430","108.54M","3.59%"
"02/01/2016","7.810","7.100","7.890","6.390","96.33M","9.69%"
"01/01/2016","7.120","9.170","9.220","6.330","173.85M","-23.28%"
"12/01/2015","9.280","7.960","9.464","7.280","208.79M","16.88%"
"11/01/2015","7.940","7.290","8.250","7.150","130.01M","8.92%"
"10/01/2015","7.290","6.190","7.555","6.030","118.57M","18.92%"
"09/01/2015","6.130","7.460","7.820","5.960","161.22M","-19.24%"
"08/01/2015","7.590","7.700","7.810","6.410","128.17M","-1.87%"
"07/01/2015","7.735","8.260","8.280","7.150","180.59M","-5.44%"
"06/01/2015","8.180","9.820","9.940","8.040","217.52M","-16.53%"
"05/01/2015","9.800","10.160","11.090","9.710","159.26M","-3.54%"
"04/01/2015","10.160","8.940","10.460","8.850","149.66M","13.77%"
"03/01/2015","8.930","10.950","11.450","8.590","268.54M","-17.39%"
"02/01/2015","10.810","10.140","10.950","9.760","148.68M","6.50%"
"01/01/2015","10.150","11.010","12.630","9.320","378.07M","-7.56%"
"12/01/2014","10.980","10.380","11.090","9.100","267.44M","5.68%"
"11/01/2014","10.390","10.490","12.540","10.030","277.96M","-1.05%"
"10/01/2014","10.500","9.960","10.880","8.650","267.89M","5.63%"
"09/01/2014","9.940","10.160","11.170","9.660","333.72M","-2.36%"
"08/01/2014","10.180","9.400","10.380","9.120","156.52M","9.11%"
"07/01/2014","9.330","10.340","11.650","8.710","445.10M","-8.89%"
"06/01/2014","10.240","7.600","10.260","7.300","396.57M","34.74%"
"05/01/2014","7.600","7.680","8.220","7.160","171.68M","-0.78%"
"04/01/2014","7.660","8.160","8.440","7.010","244.90M","-5.20%"
"03/01/2014","8.080","9.730","10.750","7.870","458.42M","-19.20%"
"02/01/2014","10.000","9.320","10.900","8.920","455.30M","5.82%"
"01/01/2014","9.450","7.450","10.850","7.331","739.65M","27.02%"
"12/01/2013","7.440","6.330","7.800","5.440","533.98M","17.54%"
"11/01/2013","6.330","8.000","8.040","5.980","407.14M","-20.13%"
"10/01/2013","7.925","7.860","8.450","7.510","354.26M","-0.25%"
"09/01/2013","7.945","10.320","11.650","7.750","678.52M","-21.49%"
"08/01/2013","10.120","8.890","12.180","8.720","632.71M","14.48%"
"07/01/2013","8.840","10.030","10.617","8.570","435.54M","-15.49%"
"06/01/2013","10.460","14.030","15.090","10.250","538.09M","-25.04%"
"05/01/2013","13.955","16.370","16.490","13.830","529.09M","-14.33%"
"04/01/2013","16.290","14.660","16.590","13.100","677.87M","12.77%"
"03/01/2013","14.445","13.440","16.820","12.550","1.19B","8.12%"
"02/01/2013","13.360","13.450","17.215","12.560","1.26B","2.93%"
"01/01/2013","12.980","12.320","18.320","11.400","1.56B","9.35%"
"12/01/2012","11.870","11.390","14.210","10.590","931.32M","2.33%"
"11/01/2012","11.600","8.060","12.300","8.010","850.13M","46.37%"
